2017-07-21 12:05:19---find a robot
2017-07-21 12:08:41---38459-- region:8-- type:0--value:4140160950-- status:SUCCESS
2017-07-21 12:08:45---38460-- region:8-- type:0--value:4182469046-- status:SUCCESS
2017-07-21 12:08:49---38461-- region:8-- type:0--value:4253147356-- status:SUCCESS
2017-07-21 12:08:54---38462-- region:8-- type:0--value:4253147364-- status:SUCCESS
2017-07-21 12:08:59---38463-- region:8-- type:0--value:4253147372-- status:SUCCESS
2017-07-21 12:09:04---38464-- region:8-- type:0--value:4323050224-- status:SUCCESS
2017-07-21 12:09:11---38465-- region:2-- type:0--value:007177596X-- status:SUCCESS
2017-07-21 12:09:17---38466-- region:2-- type:0--value:0140567577-- status:SUCCESS
2017-07-21 12:09:22---38467-- region:2-- type:0--value:0375829261-- status:SUCCESS
2017-07-21 12:09:27---38468-- region:2-- type:0--value:0634030051-- status:SUCCESS
2017-07-21 12:09:33---38469-- region:2-- type:0--value:0771076509-- status:SUCCESS
2017-07-21 12:09:39---38470-- region:2-- type:0--value:0814432638-- status:SUCCESS
2017-07-21 12:09:45---38471-- region:2-- type:0--value:0865718164-- status:SUCCESS
2017-07-21 12:09:49---38472-- region:2-- type:0--value:1412784158-- status:SUCCESS
2017-07-21 12:09:53---38473-- region:2-- type:0--value:1412792886-- status:SUCCESS
2017-07-21 12:09:57---38474-- region:2-- type:0--value:1412795265-- status:SUCCESS
2017-07-21 12:10:03---38475-- region:2-- type:0--value:1417023082-- status:SUCCESS
2017-07-21 12:10:08---38476-- region:2-- type:0--value:1442466480-- status:SUCCESS
2017-07-21 12:10:15---38477-- region:2-- type:0--value:149220644X-- status:SUCCESS
2017-07-21 12:10:19---38478-- region:2-- type:0--value:150893259X-- status:SUCCESS
2017-07-21 12:10:24---38479-- region:2-- type:0--value:152322665X-- status:SUCCESS
2017-07-21 12:10:29---38480-- region:2-- type:0--value:1530379288-- status:SUCCESS
2017-07-21 12:10:35---38481-- region:2-- type:0--value:153037958X-- status:SUCCESS
2017-07-21 12:10:39---38482-- region:2-- type:0--value:1536894400-- status:SUCCESS
2017-07-21 12:10:45---38483-- region:2-- type:0--value:1537071734-- status:SUCCESS
2017-07-21 12:10:50---38484-- region:2-- type:0--value:1537080865-- status:SUCCESS
2017-07-21 12:10:55---38485-- region:2-- type:0--value:1537259377-- status:SUCCESS
2017-07-21 12:11:01---38486-- region:2-- type:0--value:1537531786-- status:SUCCESS
2017-07-21 12:11:07---38487-- region:2-- type:0--value:153918563X-- status:SUCCESS
2017-07-21 12:11:11---38488-- region:2-- type:0--value:1539854558-- status:SUCCESS
2017-07-21 12:11:15---38489-- region:2-- type:0--value:1539955184-- status:SUCCESS
2017-07-21 12:11:21---38490-- region:2-- type:0--value:1542718864-- status:SUCCESS
2017-07-21 12:11:26---38491-- region:2-- type:0--value:1542952530-- status:SUCCESS
2017-07-21 12:11:31---38492-- region:2-- type:0--value:1543018998-- status:SUCCESS
2017-07-21 12:11:37---38493-- region:2-- type:0--value:1544162413-- status:SUCCESS
2017-07-21 12:11:42---38494-- region:2-- type:0--value:1544171560-- status:SUCCESS
2017-07-21 12:11:47---38495-- region:2-- type:0--value:1544183917-- status:SUCCESS
2017-07-21 12:11:54---38496-- region:2-- type:0--value:1544796587-- status:SUCCESS
2017-07-21 12:11:58---38497-- region:2-- type:0--value:1544798040-- status:SUCCESS
2017-07-21 12:12:04---38498-- region:2-- type:0--value:1544798792-- status:SUCCESS
2017-07-21 12:12:10---38499-- region:2-- type:0--value:1544892233-- status:SUCCESS
2017-07-21 12:12:15---38500-- region:2-- type:0--value:1545027765-- status:SUCCESS
2017-07-21 12:12:20---38501-- region:2-- type:0--value:1545240965-- status:SUCCESS
2017-07-21 12:12:24---38502-- region:2-- type:0--value:1545327092-- status:SUCCESS
2017-07-21 12:12:30---38503-- region:2-- type:0--value:1545585547-- status:SUCCESS
2017-07-21 12:12:36---38504-- region:2-- type:0--value:1546322272-- status:SUCCESS
2017-07-21 12:12:42---38505-- region:2-- type:0--value:1551051737-- status:SUCCESS
2017-07-21 12:12:46---38506-- region:2-- type:0--value:1564900444-- status:SUCCESS
2017-07-21 12:12:52---38507-- region:2-- type:0--value:157660084X-- status:SUCCESS
2017-07-21 12:12:57---38508-- region:2-- type:0--value:1593594380-- status:SUCCESS
2017-07-21 12:13:04---38509-- region:2-- type:0--value:1617454435-- status:SUCCESS
2017-07-21 12:13:09---38510-- region:2-- type:0--value:1618931679-- status:SUCCESS
2017-07-21 12:13:15---38511-- region:2-- type:0--value:4062696304-- status:SUCCESS
2017-07-21 12:13:20---38512-- region:2-- type:0--value:4062696312-- status:SUCCESS
2017-07-21 12:13:24---38513-- region:2-- type:0--value:4062696355-- status:SUCCESS
2017-07-21 12:13:28---38514-- region:2-- type:0--value:4062696363-- status:SUCCESS
2017-07-21 12:13:34---38515-- region:2-- type:0--value:4092533985-- status:SUCCESS
2017-07-21 12:13:39---38516-- region:2-- type:0--value:4097266209-- status:SUCCESS
2017-07-21 12:13:43---38517-- region:2-- type:0--value:4182469046-- status:SUCCESS
2017-07-21 12:13:47---38518-- region:2-- type:0--value:4324023484-- status:SUCCESS
2017-07-21 12:13:50---38519-- region:2-- type:0--value:4324023492-- status:SUCCESS
2017-07-21 12:13:54---38520-- region:2-- type:0--value:4324023506-- status:SUCCESS
2017-07-21 12:13:58---38521-- region:2-- type:0--value:4324023514-- status:SUCCESS
2017-07-21 12:14:02---38522-- region:2-- type:0--value:4324023530-- status:SUCCESS
2017-07-21 12:14:06---38523-- region:2-- type:0--value:4326298464-- status:SUCCESS
2017-07-21 12:14:11---38524-- region:2-- type:0--value:4408361143-- status:SUCCESS
2017-07-21 12:14:16---38525-- region:2-- type:0--value:4418038140-- status:SUCCESS
2017-07-21 12:14:20---38526-- region:2-- type:0--value:456962670X-- status:SUCCESS
2017-07-21 12:14:27---38527-- region:2-- type:0--value:4577018241-- status:SUCCESS
2017-07-21 12:14:31---38528-- region:2-- type:0--value:4591057844-- status:SUCCESS
2017-07-21 12:14:35---38529-- region:2-- type:0--value:4591084418-- status:SUCCESS
2017-07-21 12:14:42---38530-- region:2-- type:0--value:4591133834-- status:SUCCESS
2017-07-21 12:14:46---38531-- region:2-- type:0--value:4757408331-- status:SUCCESS
2017-07-21 12:14:50---38532-- region:2-- type:0--value:4772911561-- status:SUCCESS
2017-07-21 12:14:54---38533-- region:2-- type:0--value:4794503237-- status:SUCCESS
2017-07-21 12:14:59---38534-- region:2-- type:0--value:4795217467-- status:SUCCESS
2017-07-21 12:15:03---38535-- region:2-- type:0--value:4796689516-- status:SUCCESS
2017-07-21 12:15:07---38536-- region:2-- type:0--value:4796689532-- status:SUCCESS
2017-07-21 12:15:11---38537-- region:2-- type:0--value:4809413012-- status:SUCCESS
2017-07-21 12:15:16---38538-- region:2-- type:0--value:4834718603-- status:SUCCESS
2017-07-21 12:15:21---38539-- region:2-- type:0--value:4834721469-- status:SUCCESS
2017-07-21 12:15:25---38540-- region:2-- type:0--value:483472428X-- status:SUCCESS
2017-07-21 12:15:29---38541-- region:2-- type:0--value:4834725553-- status:SUCCESS
2017-07-21 12:15:33---38542-- region:2-- type:0--value:4834730387-- status:SUCCESS
2017-07-21 12:15:39---38543-- region:2-- type:0--value:4834731367-- status:SUCCESS
2017-07-21 12:15:45---38544-- region:2-- type:0--value:4834734072-- status:SUCCESS
2017-07-21 12:15:50---38545-- region:2-- type:0--value:4873803179-- status:SUCCESS
2017-07-21 12:15:55---38546-- region:2-- type:0--value:4881313207-- status:SUCCESS
2017-07-21 12:15:59---38547-- region:2-- type:0--value:4890701818-- status:SUCCESS
2017-07-21 12:16:05---38548-- region:2-- type:0--value:4893614029-- status:SUCCESS
2017-07-21 12:16:09---38549-- region:2-- type:0--value:4900801062-- status:SUCCESS
2017-07-21 12:16:14---38550-- region:2-- type:0--value:4901868179-- status:SUCCESS
2017-07-21 12:16:20---38551-- region:2-- type:0--value:490257716X-- status:SUCCESS
2017-07-21 12:16:26---38552-- region:2-- type:0--value:8883704894-- status:SUCCESS
2017-07-21 12:16:32---38553-- region:2-- type:0--value:8883704983-- status:SUCCESS
2017-07-21 12:16:38---38554-- region:2-- type:0--value:9089703888-- status:SUCCESS
2017-07-21 12:16:44---38555-- region:2-- type:0--value:9792284044-- status:SUCCESS
2017-07-21 12:16:48---38556-- region:2-- type:0--value:9872529418-- status:SUCCESS
2017-07-21 12:16:54---38557-- region:2-- type:0--value:B0000222V1-- status:SUCCESS
2017-07-21 12:17:01---38558-- region:2-- type:0--value:B000024ZGE-- status:SUCCESS
2017-07-21 12:17:07---38559-- region:2-- type:0--value:B00002N8NR-- status:SUCCESS
2017-07-21 12:17:15---38560-- region:2-- type:0--value:B00002NB2X-- status:SUCCESS
2017-07-21 12:17:21---38561-- region:2-- type:0--value:B00002NBK1-- status:SUCCESS
2017-07-21 12:17:27---38562-- region:2-- type:0--value:B0000302YN-- status:SUCCESS
2017-07-21 12:17:34---38563-- region:2-- type:0--value:B00004SYN5-- status:SUCCESS
2017-07-21 12:17:40---38564-- region:2-- type:0--value:B00004T7OX-- status:SUCCESS
2017-07-21 12:17:43---find a robot
2017-07-21 12:17:51---38565-- region:1-- type:0--value:4591105709-- status:SUCCESS
2017-07-21 12:17:57---38566-- region:1-- type:0--value:4591108872-- status:SUCCESS
2017-07-21 12:18:03---38567-- region:1-- type:0--value:4591111903-- status:SUCCESS
2017-07-21 12:18:09---38568-- region:1-- type:0--value:4591132188-- status:SUCCESS
2017-07-21 12:18:15---38569-- region:1-- type:0--value:459113363X-- status:SUCCESS
2017-07-21 12:18:20---38570-- region:1-- type:0--value:4795217157-- status:SUCCESS
2017-07-21 12:18:25---38571-- region:1-- type:0--value:4796689516-- status:SUCCESS
2017-07-21 12:18:29---38572-- region:1-- type:0--value:4796689532-- status:SUCCESS
2017-07-21 12:18:33---38573-- region:1-- type:0--value:4811372239-- status:SUCCESS
2017-07-21 12:18:39---38574-- region:1-- type:0--value:4834716260-- status:SUCCESS
2017-07-21 12:18:43---38575-- region:1-- type:0--value:4834721469-- status:SUCCESS
2017-07-21 12:18:48---38576-- region:1-- type:0--value:483472428X-- status:SUCCESS
2017-07-21 12:18:53---38577-- region:1-- type:0--value:4834725553-- status:SUCCESS
2017-07-21 12:18:58---38578-- region:1-- type:0--value:4834730387-- status:SUCCESS
2017-07-21 12:19:03---38579-- region:1-- type:0--value:4834731790-- status:SUCCESS
2017-07-21 12:19:07---38580-- region:1-- type:0--value:4834734072-- status:SUCCESS
2017-07-21 12:19:13---38581-- region:1-- type:0--value:4863224125-- status:SUCCESS
2017-07-21 12:19:17---38582-- region:1-- type:0--value:4873803179-- status:SUCCESS
2017-07-21 12:19:21---38583-- region:1-- type:0--value:4875740646-- status:SUCCESS
2017-07-21 12:19:26---38584-- region:1-- type:0--value:4881313088-- status:SUCCESS
2017-07-21 12:19:31---38585-- region:1-- type:0--value:488131310X-- status:SUCCESS
2017-07-21 12:19:36---38586-- region:1-- type:0--value:4881313207-- status:SUCCESS
2017-07-21 12:19:41---38587-- region:1-- type:0--value:4889693467-- status:SUCCESS
2017-07-21 12:19:46---38588-- region:1-- type:0--value:4889693548-- status:SUCCESS
2017-07-21 12:19:52---38589-- region:1-- type:0--value:4902577119-- status:SUCCESS
2017-07-21 12:19:57---38590-- region:1-- type:0--value:4902577127-- status:SUCCESS
2017-07-21 12:20:02---38591-- region:1-- type:0--value:490257716X-- status:SUCCESS
2017-07-21 12:20:08---38592-- region:1-- type:0--value:6030537040-- status:SUCCESS
2017-07-21 12:20:14---38593-- region:1-- type:0--value:6041206407-- status:SUCCESS
2017-07-21 12:20:20---38594-- region:1-- type:0--value:6066078216-- status:SUCCESS
2017-07-21 12:20:26---38595-- region:1-- type:0--value:6151015770-- status:SUCCESS
2017-07-21 12:20:33---38596-- region:1-- type:0--value:8867323679-- status:SUCCESS
2017-07-21 12:20:41---38597-- region:1-- type:0--value:8883701127-- status:SUCCESS
2017-07-21 12:20:46---38598-- region:1-- type:0--value:9872529418-- status:SUCCESS
2017-07-21 12:20:54---38599-- region:1-- type:0--value:B000008KKW-- status:SUCCESS
2017-07-21 12:21:00---38600-- region:1-- type:0--value:B00002N8NR-- status:SUCCESS
2017-07-21 12:21:06---38601-- region:1-- type:0--value:B00002X222-- status:SUCCESS
2017-07-21 12:21:13---38602-- region:1-- type:0--value:B00004T7R7-- status:SUCCESS
2017-07-21 12:21:18---38603-- region:1-- type:0--value:B00004T7R8-- status:SUCCESS
2017-07-21 12:21:26---38604-- region:1-- type:0--value:B00004T7TB-- status:SUCCESS
2017-07-21 12:21:31---38605-- region:1-- type:0--value:B00004T7V5-- status:SUCCESS
2017-07-21 12:21:39---38606-- region:1-- type:0--value:B00004T7VT-- status:SUCCESS
2017-07-21 12:21:45---38607-- region:1-- type:0--value:B00004T81Y-- status:SUCCESS
2017-07-21 12:21:51---38608-- region:1-- type:0--value:B00004T82I-- status:SUCCESS
2017-07-21 12:21:57---38609-- region:1-- type:0--value:B00004TZF9-- status:SUCCESS
2017-07-21 12:22:05---38610-- region:1-- type:0--value:B00005B0DY-- status:SUCCESS
2017-07-21 12:22:10---38611-- region:1-- type:0--value:B00005EO0J-- status:SUCCESS
2017-07-21 12:22:16---38612-- region:1-- type:0--value:B00005EWS0-- status:SUCCESS
2017-07-21 12:22:23---38613-- region:1-- type:0--value:B00005EX1S-- status:SUCCESS
2017-07-21 12:22:30---38614-- region:1-- type:0--value:B00005JN0A-- status:SUCCESS
2017-07-21 12:22:37---38615-- region:1-- type:0--value:B00005ODXX-- status:SUCCESS
2017-07-21 12:22:41---38616-- region:1-- type:0--value:B000068HFE-- status:SUCCESS
2017-07-21 12:22:45---38617-- region:1-- type:0--value:B000068HFJ-- status:SUCCESS
2017-07-21 12:22:51---38618-- region:1-- type:0--value:B000068HT7-- status:SUCCESS
2017-07-21 12:22:56---38619-- region:1-- type:0--value:B000068I9S-- status:SUCCESS
2017-07-21 12:23:01---38620-- region:1-- type:0--value:B000068I9U-- status:SUCCESS
2017-07-21 12:23:05---38621-- region:1-- type:0--value:B000069SZP-- status:SUCCESS
2017-07-21 12:23:13---38622-- region:1-- type:0--value:B000069TR1-- status:SUCCESS
2017-07-21 12:23:19---38623-- region:1-- type:0--value:B000069TRH-- status:SUCCESS
2017-07-21 12:23:24---38624-- region:1-- type:0--value:B000069UHZ-- status:SUCCESS
2017-07-21 12:23:28---38625-- region:1-- type:0--value:B000069UI5-- status:SUCCESS
2017-07-21 12:23:33---38626-- region:1-- type:0--value:B00006LJMZ-- status:SUCCESS
2017-07-21 12:23:37---38627-- region:1-- type:0--value:B00006LJRJ-- status:SUCCESS
2017-07-21 12:23:43---38628-- region:1-- type:0--value:B00006LJXL-- status:SUCCESS
2017-07-21 12:23:48---38629-- region:1-- type:0--value:B00007F1IV-- status:SUCCESS
2017-07-21 12:23:53---38630-- region:1-- type:0--value:B000092P59-- status:SUCCESS
2017-07-21 12:23:57---38631-- region:1-- type:0--value:B00009KQB9-- status:SUCCESS
2017-07-21 12:24:05---38632-- region:1-- type:0--value:B0000C665C-- status:SUCCESS
2017-07-21 12:24:11---38633-- region:1-- type:0--value:B0000C6WPC-- status:SUCCESS
2017-07-21 12:24:19---38634-- region:1-- type:0--value:B0000ZPPI2-- status:SUCCESS
2017-07-21 12:24:25---38635-- region:1-- type:0--value:B0000ZPW9Y-- status:SUCCESS
2017-07-21 12:24:29---38636-- region:1-- type:0--value:B0000ZPWA8-- status:SUCCESS
2017-07-21 12:24:34---38637-- region:1-- type:0--value:B00014AU64-- status:SUCCESS
2017-07-21 12:24:42---38638-- region:1-- type:0--value:B0001IWUEU-- status:SUCCESS
2017-07-21 12:24:51---38639-- region:1-- type:0--value:B0001IWV80-- status:SUCCESS
2017-07-21 12:24:58---38640-- region:1-- type:0--value:B0001IWVYE-- status:SUCCESS
2017-07-21 12:25:05---38641-- region:1-- type:0--value:B0001IWW4I-- status:SUCCESS
2017-07-21 12:25:13---38642-- region:1-- type:0--value:B0001IWWUM-- status:SUCCESS
2017-07-21 12:25:20---38643-- region:1-- type:0--value:B0001IWZGS-- status:SUCCESS
2017-07-21 12:25:29---38644-- region:1-- type:0--value:B0001IX2YC-- status:SUCCESS
2017-07-21 12:25:35---38645-- region:1-- type:0--value:B00028493Y-- status:SUCCESS
2017-07-21 12:25:41---38646-- region:1-- type:0--value:B0002I72NI-- status:SUCCESS
2017-07-21 12:25:48---38647-- region:1-- type:0--value:B0002Q2GJ0-- status:SUCCESS
2017-07-21 12:25:54---38648-- region:1-- type:0--value:B0002WYRTQ-- status:SUCCESS
2017-07-21 12:26:03---38649-- region:1-- type:0--value:B0002YYE5G-- status:SUCCESS
2017-07-21 12:26:12---38650-- region:1-- type:0--value:B00032Q5N6-- status:SUCCESS
2017-07-21 12:26:18---38651-- region:1-- type:0--value:B000657PLQ-- status:SUCCESS
2017-07-21 12:26:22---38652-- region:1-- type:0--value:B000657QC4-- status:SUCCESS
2017-07-21 12:26:28---38653-- region:1-- type:0--value:B000657QCE-- status:SUCCESS
2017-07-21 12:26:33---38654-- region:1-- type:0--value:B000683E5O-- status:SUCCESS
2017-07-21 12:26:40---38655-- region:1-- type:0--value:B00078E2U4-- status:SUCCESS
2017-07-21 12:26:46---38656-- region:1-- type:0--value:B00079PRWA-- status:SUCCESS
2017-07-21 12:26:51---38657-- region:1-- type:0--value:B0007M30A8-- status:SUCCESS
2017-07-21 12:26:57---38658-- region:1-- type:0--value:B0007M30AI-- status:SUCCESS
2017-07-21 12:27:05---38659-- region:1-- type:0--value:B0007M30B2-- status:SUCCESS
2017-07-21 12:27:11---38660-- region:1-- type:0--value:B0007M30BC-- status:SUCCESS
2017-07-21 12:27:18---38661-- region:1-- type:0--value:B0007M30BM-- status:SUCCESS
2017-07-21 12:27:24---38662-- region:1-- type:0--value:B0007M30BW-- status:SUCCESS
2017-07-21 12:27:29---38663-- region:1-- type:0--value:B0009K74HS-- status:SUCCESS
2017-07-21 12:27:35---38664-- region:1-- type:0--value:B0009S8J1A-- status:SUCCESS
2017-07-21 12:27:45---38665-- region:1-- type:0--value:B000AXVP4M-- status:SUCCESS
2017-07-21 12:27:51---38666-- region:1-- type:0--value:B000BNDIM8-- status:SUCCESS
2017-07-21 12:27:57---38667-- region:1-- type:0--value:B000BO5A64-- status:SUCCESS
2017-07-21 12:28:02---38668-- region:1-- type:0--value:B000BOAU32-- status:SUCCESS
2017-07-21 12:28:07---38669-- region:1-- type:0--value:B000BPSKZG-- status:SUCCESS
2017-07-21 12:28:12---38670-- region:1-- type:0--value:B000BQUUWG-- status:SUCCESS
2017-07-21 12:28:18---38671-- region:1-- type:0--value:B000COBT9A-- status:SUCCESS
2017-07-21 12:28:24---38672-- region:1-- type:0--value:B000DZTROC-- status:SUCCESS
2017-07-21 12:28:31---38673-- region:1-- type:0--value:B000EX0AE4-- status:SUCCESS
2017-07-21 12:28:36---38674-- region:1-- type:0--value:B000FOPMMM-- status:SUCCESS
2017-07-21 12:28:43---38675-- region:1-- type:0--value:B000FTCFZY-- status:SUCCESS
2017-07-21 12:28:49---38676-- region:1-- type:0--value:B000GA8ROU-- status:SUCCESS
2017-07-21 12:28:55---38677-- region:1-- type:0--value:B000GLJSA6-- status:SUCCESS
2017-07-21 12:29:01---38678-- region:1-- type:0--value:B000GUCDDG-- status:SUCCESS
2017-07-21 12:29:07---38679-- region:1-- type:0--value:B000GUEAUK-- status:SUCCESS
2017-07-21 12:29:13---38680-- region:1-- type:0--value:B000GUEAVO-- status:SUCCESS
2017-07-21 12:29:20---38681-- region:1-- type:0--value:B000HEWFBQ-- status:SUCCESS
2017-07-21 12:29:28---38682-- region:1-- type:0--value:B000HHOAFW-- status:SUCCESS
2017-07-21 12:29:36---38683-- region:1-- type:0--value:B000HLZXH2-- status:SUCCESS
2017-07-21 12:29:42---38684-- region:1-- type:0--value:B000I1RRKM-- status:SUCCESS
2017-07-21 12:29:48---38685-- region:1-- type:0--value:B000I1TDKE-- status:SUCCESS
2017-07-21 12:29:57---38686-- region:1-- type:0--value:B000I5ZNC2-- status:SUCCESS
2017-07-21 12:30:04---38687-- region:1-- type:0--value:B000JF4250-- status:SUCCESS
2017-07-21 12:30:11---38688-- region:1-- type:0--value:B000KA6B08-- status:SUCCESS
2017-07-21 12:30:19---38689-- region:1-- type:0--value:B000KD0BI8-- status:SUCCESS
2017-07-21 12:30:28---38690-- region:1-- type:0--value:B000KKRD8W-- status:SUCCESS
2017-07-21 12:30:34---38691-- region:1-- type:0--value:B000KL7OXK-- status:SUCCESS
2017-07-21 12:30:40---38692-- region:1-- type:0--value:B000KPSIEK-- status:SUCCESS
2017-07-21 12:30:46---38693-- region:1-- type:0--value:B000LFY7YY-- status:SUCCESS
2017-07-21 12:30:53---38694-- region:1-- type:0--value:B000LFZ0KE-- status:SUCCESS
2017-07-21 12:30:59---38695-- region:1-- type:0--value:B000LK1Z9Y-- status:SUCCESS
2017-07-21 12:31:07---38696-- region:1-- type:0--value:B000LPZTQY-- status:SUCCESS
2017-07-21 12:31:14---38697-- region:1-- type:0--value:B000MGBSOY-- status:SUCCESS
2017-07-21 12:31:22---38698-- region:1-- type:0--value:B000N4JDY2-- status:SUCCESS
2017-07-21 12:31:29---38699-- region:1-- type:0--value:B000NGADDK-- status:SUCCESS
2017-07-21 12:31:36---38700-- region:1-- type:0--value:B000O22Y94-- status:SUCCESS
2017-07-21 12:31:43---38701-- region:1-- type:0--value:B000O2MFA2-- status:SUCCESS
2017-07-21 12:31:50---38702-- region:1-- type:0--value:B000O3SXS4-- status:SUCCESS
2017-07-21 12:31:58---38703-- region:1-- type:0--value:B000OC1OOU-- status:SUCCESS
2017-07-21 12:32:07---38704-- region:1-- type:0--value:B000OMG0KI-- status:SUCCESS
2017-07-21 12:32:16---38705-- region:1-- type:0--value:B000P1KSPG-- status:SUCCESS
2017-07-21 12:32:24---38706-- region:1-- type:0--value:B000P3WW12-- status:SUCCESS
2017-07-21 12:32:30---38707-- region:1-- type:0--value:B000R847NQ-- status:SUCCESS
2017-07-21 12:32:36---38708-- region:1-- type:0--value:B000SAS0PE-- status:SUCCESS
2017-07-21 12:32:44---38709-- region:1-- type:0--value:B000T5OTHQ-- status:SUCCESS
2017-07-21 12:32:50---38710-- region:1-- type:0--value:B000TGFSBG-- status:SUCCESS
2017-07-21 12:32:55---38711-- region:1-- type:0--value:B000UGM3YA-- status:SUCCESS
2017-07-21 12:33:02---38712-- region:1-- type:0--value:B000UQG1KC-- status:SUCCESS
2017-07-21 12:33:08---38713-- region:1-- type:0--value:B000UTUFP6-- status:SUCCESS
2017-07-21 12:33:14---38714-- region:1-- type:0--value:B000UUSNNQ-- status:SUCCESS
2017-07-21 12:33:22---38715-- region:1-- type:0--value:B000V3SB0C-- status:SUCCESS
2017-07-21 12:33:30---38716-- region:1-- type:0--value:B000V4FJ4C-- status:SUCCESS
2017-07-21 12:33:37---38717-- region:1-- type:0--value:B000W058C8-- status:SUCCESS
2017-07-21 12:33:43---38718-- region:1-- type:0--value:B000WT8M0Y-- status:SUCCESS
2017-07-21 12:33:49---38719-- region:1-- type:0--value:B000X4J8HE-- status:SUCCESS
2017-07-21 12:33:55---38720-- region:1-- type:0--value:B000XAN05O-- status:SUCCESS
2017-07-21 12:34:03---38721-- region:1-- type:0--value:B000XQ9PZ2-- status:SUCCESS
2017-07-21 12:34:10---38722-- region:1-- type:0--value:B0012IUZ68-- status:SUCCESS
2017-07-21 12:34:18---38723-- region:1-- type:0--value:B00157KLBK-- status:SUCCESS
2017-07-21 12:34:26---38724-- region:1-- type:0--value:B0015MNIN8-- status:SUCCESS
2017-07-21 12:34:33---38725-- region:1-- type:0--value:B0015MNJ1O-- status:SUCCESS
2017-07-21 12:34:40---38726-- region:1-- type:0--value:B0016KU1XO-- status:SUCCESS
2017-07-21 12:34:45---38727-- region:1-- type:0--value:B0018ANJIG-- status:SUCCESS
2017-07-21 12:34:51---38728-- region:1-- type:0--value:B0018BM61Q-- status:SUCCESS
2017-07-21 12:34:57---38729-- region:1-- type:0--value:B0019JRL4O-- status:SUCCESS
2017-07-21 12:35:03---38730-- region:1-- type:0--value:B001A1UIL4-- status:SUCCESS
2017-07-21 12:35:09---38731-- region:1-- type:0--value:B001AEH634-- status:SUCCESS
